,0
94568,360.0
43068,164.28571428571428
89031,220.00000000000003
85251,357.14285714285717
40601,167.98029556650246
7087,434.99999999999994
93550,333.33333333333337
73160,260.5263157894737
33319,213.63636363636363
21215,209.0909090909091
30135,201.96078431372547
93536,282.258064516129
63123,181.57894736842107
11208,378.125
78501,160.41666666666669
95035,433.55704697986573
94509,276.2886597938144
60615,242.45283018867926
92630,368.8679245283019
93306,232.75862068965517
23451,307.89473684210526
78249,200.0
14221,206.06060606060606
19446,210.126582278481
77057,136.28318584070794
93535,305.55555555555554
21122,237.2340425531915
95758,280.24691358024694
11225,794.2528735632184
76116,242.3076923076923
89123,225.31645569620252
14580,162.66666666666666
98122,484.7457627118645
66061,267.85714285714283
30253,191.48936170212767
94122,524.0641711229946
60641,201.85185185185185
37122,251.5625
27707,227.27272727272728
60660,314.8514851485149
33321,245.16129032258064
37066,262.7118644067797
29681,182.53968253968253
75043,231.99999999999997
2301,130.0
29445,253.06122448979593
60453,137.83783783783784
19720,200.0
93274,225.3968253968254
19020,222.97297297297297
77521,194.0
93257,233.89830508474577
31419,198.0769230769231
21222,177.14285714285714
46143,152.11267605633802
19120,212.82051282051282
93230,224.24242424242422
11204,474.4186046511628
31088,195.23809523809524
75002,198.52941176470588
93307,249.09090909090907
38655,175.0
33467,241.79104477611938
93309,234.42622950819674
22204,346.42857142857144
10032,149.2600422832981
32246,256.8627450980392
98133,368.6868686868687
85282,301.7241379310345
20874,234.04255319148936
11219,459.375
94541,368.0327868852459
90802,591.25
37167,245.76271186440678
11213,672.8395061728395
99208,240.4494382022472
28216,188.135593220339
60056,158.46153846153845
27705,224.6376811594203
94538,478.98550724637687
28601,179.31034482758622
33157,326.3157894736842
29223,191.48936170212767
60085,185.71428571428572
95076,310.7692307692308
37040,221.73913043478262
29485,247.05882352941177
36117,128.57142857142858
48823,322.5
32608,247.27272727272725
31907,121.73913043478262
78254,191.52542372881356
78758,238.8235294117647
92104,559.8039215686274
90631,338.9380530973452
20020,350.0
28205,383.92857142857144
20852,256.61764705882354
94513,250.46728971962614
32792,292.72727272727275
78251,192.72727272727272
17331,193.33333333333334
32765,259.016393442623
92647,367.4418604651163
37421,191.93548387096774
33511,274.468085106383
63021,189.873417721519
34293,265.51724137931035
30263,229.54545454545453
97045,273.1707317073171
77083,202.22222222222223
21224,348.71794871794873
29579,205.35714285714283
87124,160.8108108108108
28215,190.0
78741,285.18518518518516
27519,210.3896103896104
85345,250.0
63129,177.02702702702703
75211,280.8510638297872
92154,341.1111111111111
85204,281.0344827586207
15301,262.5
30066,215.625
77346,186.27450980392157
6516,207.04225352112675
89110,225.37313432835822
92115,409.0
37129,254.54545454545453
1960,277.55102040816325
83301,279.5918367346939
85022,258.2089552238806
11203,372.11538461538464
95355,262.66666666666663
11368,471.09375
75070,166.25
55124,221.1764705882353
59901,202.94117647058823
95670,298.71794871794873
74133,166.66666666666669
78748,162.38532110091742
37027,233.33333333333334
94587,415.625
92646,368.46153846153845
60608,274.11764705882354
21061,226.4367816091954
10031,515.8620689655172
11220,449.6732026143791
33458,283.1168831168831
79924,156.25
96706,248.90109890109892
77375,173.33333333333334
92620,381.3008130081301
76179,216.36363636363635
97401,263.855421686747
98632,250.0
89148,202.4390243902439
42701,213.0434782608696
60148,175.72815533980582
53704,228.91566265060243
11216,758.4158415841583
23322,239.1304347826087
28227,200.0
89074,216.45569620253164
83646,250.0
38305,165.95744680851064
19134,192.0
78664,185.13513513513513
92376,373.4375
95014,510.42654028436016
45044,173.6842105263158
19067,216.09195402298852
43229,170.0
32825,256.140350877193
33414,252.11267605633805
28210,254.28571428571428
45013,168.85245901639345
