,0
11208,378.1250000000002
78501,160.41666666666643
95035,433.55704697986573
94509,276.28865979381465
60615,242.45283018867917
92630,368.8679245283013
93306,232.75862068965475
23451,307.894736842105
78249,199.99999999999977
14221,206.06060606060606
19446,210.12658227848124
77057,136.28318584070792
93535,305.5555555555552
21122,237.2340425531916
95758,280.2469135802471
11225,794.2528735632183
76116,242.30769230769212
89123,225.31645569620173
14580,162.66666666666666
98122,484.74576271186436
66061,267.85714285714255
30253,191.48936170212752
94122,524.0641711229941
60641,201.85185185185208
37122,251.56249999999986
27707,227.2727272727274
60660,314.85148514851437
33321,245.16129032258087
37066,262.7118644067798
29681,182.53968253968276
75043,232.00000000000003
02301,130.00000000000006
29445,253.06122448979602
60453,137.8378378378374
19720,200.00000000000017
93274,225.39682539682525
19020,222.97297297297254
77521,194.0000000000001
93257,233.89830508474563
31419,198.0769230769231
21222,177.14285714285717
46143,152.11267605633827
19120,212.8205128205125
93230,224.24242424242414
11204,474.418604651162
31088,195.23809523809516
75002,198.529411764706
93307,249.0909090909085
38655,174.99999999999986
33467,241.79104477611907
93309,234.42622950819617
22204,346.42857142857105
10032,149.26004228329808
32246,256.86274509803917
98133,368.68686868686893
85282,301.7241379310342
20874,234.04255319148922
11219,459.3750000000013
94541,368.032786885245
90802,591.2499999999997
37167,245.76271186440692
11213,672.8395061728396
99208,240.4494382022472
28216,188.13559322033896
60056,158.4615384615385
27705,224.63768115942
94538,478.9855072463757
28601,179.31034482758622
33157,326.3157894736839
29223,191.48936170212772
60085,185.71428571428564
95076,310.76923076923066
37040,221.7391304347824
29485,247.05882352941174
36117,128.5714285714286
48823,322.5000000000002
32608,247.2727272727269
31907,121.73913043478221
78254,191.5254237288135
78758,238.8235294117646
92104,559.8039215686273
90631,338.9380530973442
20020,349.9999999999998
28205,383.9285714285713
20852,256.6176470588239
94513,250.46728971962557
32792,292.7272727272721
78251,192.7272727272726
17331,193.33333333333317
32765,259.01639344262253
92647,367.4418604651151
37421,191.9354838709679
33511,274.4680851063822
63021,189.87341772151862
34293,265.51724137930995
30263,229.54545454545473
97045,273.1707317073168
77083,202.2222222222221
21224,348.7179487179484
29579,205.35714285714297
87124,160.8108108108106
28215,189.9999999999999
78741,285.18518518518493
27519,210.38961038961023
85345,250.0
63129,177.0270270270267
75211,280.851063829787
92154,341.111111111111
85204,281.03448275862036
15301,262.5
30066,215.62500000000006
77346,186.27450980392155
06516,207.0422535211269
89110,225.37313432835822
92115,408.9999999999991
37129,254.54545454545445
01960,277.5510204081636
83301,279.591836734694
85022,258.20895522388037
11203,372.1153846153844
95355,262.6666666666663
11368,471.09374999999886
75070,166.25
55124,221.17647058823496
59901,202.94117647058846
95670,298.7179487179484
74133,166.6666666666666
78748,162.38532110091725
37027,233.33333333333317
94587,415.6249999999994
92646,368.46153846153925
60608,274.11764705882405
21061,226.43678160919524
10031,515.8620689655165
11220,449.6732026143797
33458,283.1168831168827
79924,156.24999999999986
96706,248.90109890109892
77375,173.33333333333346
92620,381.3008130081293
76179,216.36363636363635
97401,263.8554216867471
98632,250.0000000000003
89148,202.43902439024365
42701,213.04347826086948
60148,175.72815533980585
53704,228.91566265060237
11216,758.4158415841584
23322,239.13043478260815
28227,199.99999999999983
89074,216.45569620253085
83646,250.00000000000006
38305,165.95744680851055
19134,191.9999999999996
78664,185.13513513513485
92376,373.4374999999996
95014,510.4265402843607
45044,173.68421052631558
19067,216.0919540229882
43229,170.0000000000003
32825,256.14035087719236
33414,252.11267605633773
28210,254.28571428571422
45013,168.85245901639345
95112,432.876712328767
92648,374.10071942446115
85008,372.3404255319141
30101,195.31250000000006
47150,147.94520547945186
89103,211.9999999999999
27265,141.42857142857156
14094,198.076923076923
92618,405.1282051282057
12180,206.89655172413762
92105,450.57471264367723
94080,444.7852760736195
85383,233.333333333333
78753,238.6666666666668
33433,236.84210526315744
67401,208.00000000000017
41042,164.6153846153847
98208,300.0
20910,315.12605042016855
23455,246.96969696969728
32303,181.6666666666667
92122,386.71874999999983
32771,250.94339622641516
84404,260.9756097560974
30047,187.71929824561374
33015,285.9374999999993
39759,184.3137254901959
95648,327.16049382716005
48439,180.327868852459
92130,365.1851851851842
77070,184.61538461538453
75098,209.6774193548386
79424,183.92857142857144
73013,200.00000000000023
90036,638.4615384615402
07047,335.6164383561639
75204,220.72072072072046
94112,538.0368098159512
53711,259.99999999999994
08759,175.38461538461542
78759,189.65517241379305
33463,270.1754385964909
77373,197.87234042553163
76137,205.17241379310326
07305,279.5454545454553
27407,136.23188405797083
78253,183.60655737704937
